Year,Rank,Release Group,Worldwide,Domestic,Domestic %,Foreign,Foreign %
2015,44,Fantastic Four,"$168,649,860","$56,117,548",33.3%,"$111,765,333",66.3%
2015,45,Bridge of Spies,"$165,478,348","$72,313,754",43.7%,"$93,164,594",56.3%
2015,46,From Vegas to Macau II,"$163,877,532",-,-,"$163,877,532",100%
2015,47,Focus,"$159,162,963","$53,862,963",33.8%,"$105,300,000",66.2%
2015,48,Goosebumps,"$158,260,952","$80,080,379",50.6%,"$78,180,573",49.4%
2015,49,Ip Man 3,"$156,954,938","$2,679,437",1.7%,"$154,275,501",98.3%
2015,50,The Hateful Eight,"$155,760,117","$54,117,416",34.7%,"$101,642,701",65.3%
2015,51,Monkey King: Hero Is Back,"$153,262,397",-,-,"$153,262,397",100%
2015,52,Gods of Egypt,"$150,680,864","$31,153,464",20.7%,"$119,527,400",79.3%
2015,53,The Last Witch Hunter,"$146,936,910","$27,367,660",18.6%,"$119,569,250",81.4%
2015,54,Trainwreck,"$140,795,793","$110,212,700",78.3%,"$30,583,093",21.7%
2015,55,Mr. Six,"$140,761,088","$1,415,450",1%,"$137,775,895",97.9%
2015,56,Point Break,"$133,782,481","$28,782,481",21.5%,"$105,000,000",78.5%
2015,57,The Big Short,"$133,440,870","$70,259,870",52.7%,"$63,181,000",47.3%
2015,58,Pan,"$128,988,320","$35,088,320",27.2%,"$93,900,000",72.8%
2015,59,Detective Chinatown,"$125,842,935","$474,252",0.4%,"$125,368,683",99.6%
2015,60,Wolf Totem,"$125,837,070","$210,591",0.2%,"$125,626,479",99.8%
2015,61,Ride Along 2,"$124,912,384","$91,221,830",73%,"$33,383,467",26.7%
2015,62,Magic Mike XXL,"$122,613,057","$66,013,057",53.8%,"$56,600,000",46.2%
2015,63,Dragon Blade,"$122,593,849","$74,068",<0.1%,"$122,519,781",99.9%
2015,64,Insidious: Chapter 3,"$112,983,889","$52,218,558",46.2%,"$60,765,331",53.8%
2015,65,Get Hard,"$111,811,453","$90,411,453",80.9%,"$21,400,000",19.1%
2015,66,The Man from U.N.C.L.E.,"$110,045,109","$45,445,109",41.3%,"$64,600,000",58.7%
2015,67,The 5th Wave,"$109,906,372","$34,916,787",31.8%,"$74,989,585",68.2%
2015,68,Paul Blart: Mall Cop 2,"$107,588,225","$71,038,190",66%,"$36,550,035",34%
2015,69,Vacation,"$107,228,221","$58,884,188",54.9%,"$48,344,033",45.1%
2015,70,Chronicles of the Ghostly Tribe,"$106,380,000",-,-,"$106,380,000",100%
2015,71,Shaun the Sheep Movie,"$106,332,437","$19,375,982",18.2%,"$86,833,396",81.7%
2015,72,Sisters,"$105,574,968","$87,044,645",82.4%,"$17,966,408",17%
2015,73,Chappie,"$104,406,356","$31,569,268",30.2%,"$71,242,621",68.2%
2015,74,Joy,"$101,142,282","$56,451,232",55.8%,"$44,682,827",44.2%
2015,75,Black Mass,"$99,975,678","$62,575,678",62.6%,"$37,400,000",37.4%
2015,76,Spotlight,"$98,690,254","$45,055,776",45.7%,"$53,634,478",54.3%
2015,77,Devil and Angel,"$98,599,942","$131,058",0.1%,"$98,468,884",99.9%
2015,78,The Visit,"$98,531,066","$65,206,105",66.2%,"$33,243,957",33.7%
2015,79,The Little Prince,"$97,571,250","$1,339,152",1.4%,"$96,232,098",98.6%
2015,80,Assassination,"$96,119,773","$1,904,682",2%,"$94,215,091",98%
2015,81,Poltergeist,"$95,437,994","$47,425,125",49.7%,"$48,012,869",50.3%
2015,82,Veteran,"$94,393,020","$1,200,627",1.3%,"$93,192,393",98.7%
2015,83,In the Heart of the Sea,"$94,320,758","$25,020,758",26.5%,"$69,300,000",73.5%
2015,84,Southpaw,"$93,656,616","$52,421,953",56%,"$39,548,874",42.2%
2015,85,Kill Zone 2,"$93,638,358","$11,998",<0.1%,"$93,626,360",100%
2015,86,The Second Best Exotic Marigold Hotel,"$86,214,769","$33,078,266",38.4%,"$52,900,000",61.4%
2015,87,Paper Towns,"$85,512,611","$32,000,304",37.4%,"$53,511,996",62.6%
2015,88,Sicario,"$84,872,444","$46,889,293",55.2%,"$37,983,151",44.8%
2015,89,Our Times,"$83,867,493",-,-,"$83,867,493",100%
2015,90,Suck Me Shakespeer 2,"$83,027,924",-,-,"$83,027,924",100%
2015,91,Unfriended,"$82,963,037","$32,482,090",39.2%,"$30,400,000",36.6%
2015,92,Hitman: Agent 47,"$82,347,757","$22,467,450",27.3%,"$59,880,206",72.7%
2015,93,Wolf Warrior,"$81,411,331",-,-,"$81,411,331",100%
2015,94,Go Away Mr. Tumor,"$80,606,893","$286,639",0.4%,"$80,320,254",99.6%
2015,95,The Wedding Ringer,"$80,220,726","$64,460,211",80.4%,"$15,339,669",19.1%
2015,96,Paranormal Activity: The Ghost Dimension,"$78,903,124","$18,300,124",23.2%,"$60,603,000",76.8%
2015,97,The Left Ear,"$78,015,473",-,-,"$78,015,473",100%
2015,98,Tiny Times 4.0,"$77,750,000",-,-,"$77,750,000",100%
2015,99,Bajrangi Bhaijaan,"$75,547,184","$8,178,001",10.8%,"$67,369,183",89.2%
2015,100,The Transporter Refueled,"$73,544,088","$16,029,670",21.8%,"$56,600,000",77%
2015,101,War Room,"$73,267,874","$67,790,117",92.5%,"$5,477,757",7.5%
2015,102,Run All Night,"$71,661,644","$26,461,644",36.9%,"$45,200,000",63.1%
2015,103,13 Hours,"$69,411,370","$52,853,219",76.1%,"$16,558,151",23.9%
2015,104,Running Man,"$68,782,475","$310,978",0.5%,"$68,471,497",99.5%
2015,105,A Violent Prosecutor,"$66,736,633",-,-,"$66,736,633",100%
2015,106,The Age of Adaline,"$65,663,276","$42,629,776",64.9%,"$23,033,500",35.1%
2015,107,The Danish Girl,"$64,613,111","$11,114,018",17.2%,"$53,077,505",82.1%
2015,108,Monk Comes Down the Mountain,"$64,455,686",-,-,"$64,455,686",100%
2015,109,Zhongkui: Snow Girl and the Dark Crystal,"$64,325,947","$165,428",0.3%,"$64,160,519",99.7%
2015,110,The Boy,"$64,188,367","$35,819,556",55.8%,"$28,368,811",44.2%
2015,111,The Hundred Regiments Offensive,"$63,230,000",-,-,"$63,230,000",100%
2015,112,The Longest Ride,"$62,944,815","$37,446,117",59.5%,"$25,498,698",40.5%
2015,113,Brooklyn,"$62,706,526","$38,322,743",61.1%,"$23,753,398",37.9%
2015,114,Still Alice,"$62,541,052","$18,754,371",30%,"$26,024,824",41.6%
2015,115,The Gift,"$62,169,603","$43,787,265",70.4%,"$15,191,388",24.4%
2015,116,"Dragon Ball Z: Resurrection ""F""","$61,768,190","$8,008,363",13%,"$53,759,827",87%
2015,117,Woman in Gold,"$61,619,773","$33,307,793",54.1%,"$28,311,980",45.9%
2015,118,Krampus,"$61,573,413","$42,725,475",69.4%,"$18,823,232",30.6%
2015,119,The Perfect Guy,"$60,273,173","$57,027,435",94.6%,"$3,245,738",5.4%
2015,120,Forever Young,"$59,981,902","$149,761",0.2%,"$59,832,141",99.8%
2015,121,Miss Granny,"$59,396,311","$234,573",0.4%,"$59,161,738",99.6%
2015,122,You Are My Sunshine,"$56,640,000",-,-,"$56,640,000",100%
2015,123,No Escape,"$55,802,790","$27,288,872",48.9%,"$27,130,000",48.6%
2015,124,The Boy Next Door,"$53,894,842","$35,423,380",65.7%,"$17,002,475",31.5%
2015,125,Sinister 2,"$53,329,150","$27,740,955",52%,"$25,588,195",48%
2015,126,Detective Conan: Sunflowers of Inferno,"$52,920,296",-,-,"$52,920,296",100%
2015,127,Prem Ratan Dhan Payo,"$52,715,771","$4,364,639",8.3%,"$48,351,132",91.7%
2015,128,The Night Before,"$52,395,996","$43,047,372",82.2%,"$9,348,624",17.8%
2015,129,Hollywood Adventures,"$52,265,070",-,-,"$52,265,070",100%
2015,130,"Yo-kai Watch Movie: It's the Secret of Birth, Meow!","$51,838,845","$257,343",0.5%,"$51,581,502",99.5%
2015,131,Hot Pursuit,"$51,680,201","$34,580,201",66.9%,"$17,100,000",33.1%
2015,132,The Himalayas,"$50,544,493","$696,717",1.4%,"$49,847,776",98.6%
2015,133,Self/less,"$49,725,720","$12,279,691",24.7%,"$19,527,465",39.3%
2015,134,The Boy and the Beast,"$49,714,378","$490,643",1%,"$49,223,735",99%
2015,135,Surprise,"$49,567,466",-,-,"$49,567,466",100%
2015,136,Irrational Man,"$49,549,584","$4,030,360",8.1%,"$23,360,724",47.1%
2015,137,Entourage,"$49,263,404","$32,363,404",65.7%,"$16,900,000",34.3%
2015,138,The Woman in Black 2: Angel of Death,"$48,854,305","$26,501,323",54.2%,"$22,352,982",45.8%
2015,139,Concussion,"$48,623,572","$34,542,474",71%,"$14,081,098",29%
2015,140,Inside Men,"$47,616,503",-,-,"$47,616,503",100%
2015,141,The Dead End,"$47,600,000",-,-,"$47,600,000",100%
2015,142,Boonie Bears: A Mystical Winter,"$47,581,416",-,-,"$47,581,416",100%
2015,143,Mortdecai,"$47,275,695","$7,696,134",16.3%,"$39,579,561",83.7%
2015,144,Let's Get Married,"$45,972,724","$462,918",1%,"$45,509,806",99%
2015,145,Somewhere Only We Know,"$45,737,711","$482,341",1.1%,"$45,255,370",98.9%
2015,146,"McFarland, USA","$45,710,059","$44,482,410",97.3%,"$1,227,649",2.7%
2015,147,Hero,"$45,565,534","$88,675",0.2%,"$45,476,859",99.8%
2015,148,The DUFF,"$44,373,013","$34,030,343",76.7%,"$9,679,401",21.8%
2015,149,Max,"$43,956,255","$42,656,255",97%,"$1,300,000",3%
2015,150,Legend,"$43,696,982","$1,872,994",4.3%,"$41,100,000",94.1%
2015,151,The Gallows,"$42,964,410","$22,764,410",53%,"$20,200,000",47%
2015,152,Love the Coopers,"$42,426,912","$26,302,731",62%,"$16,124,181",38%
2015,153,The Throne,"$42,165,755",-,-,"$42,165,755",100%
2015,154,The Lady in the Van,"$41,423,271","$10,021,175",24.2%,"$31,366,512",75.7%
2015,155,Ricki and the Flash,"$41,325,328","$26,822,144",64.9%,"$14,503,184",35.1%
2015,156,Spanish Affair 2,"$40,591,862",-,-,"$40,591,862",100%
2015,157,Carol,"$40,324,015","$12,711,491",31.5%,"$27,560,644",68.3%
2015,158,Northern Limit Line,"$40,034,677","$337,907",0.8%,"$39,696,770",99.2%
2015,159,Ex-Files 2: The Backup Strikes Back,"$39,108,291",-,-,"$39,108,291",100%
2015,160,Criminal,"$38,818,674","$14,708,696",37.9%,"$24,095,297",62.1%
2015,161,Boruto: Naruto the Movie,"$38,362,448","$919,651",2.4%,"$37,442,797",97.6%
2015,162,The Lazarus Effect,"$38,359,128","$25,801,570",67.3%,"$12,555,322",32.7%
2015,163,Helios,"$37,938,005",-,-,"$37,938,005",100%
2015,164,Room,"$37,895,492","$14,677,654",38.7%,"$20,724,104",54.7%
2015,165,Ex Machina,"$37,836,231","$25,442,958",67.2%,"$11,426,456",30.2%
2015,166,A Walk in the Woods,"$37,461,274","$29,504,281",78.8%,"$7,956,993",21.2%
2015,167,Burnt,"$36,710,582","$13,651,946",37.2%,"$22,954,797",62.5%
2015,168,The Priests,"$36,577,134","$185,093",0.5%,"$36,392,041",99.5%
2015,169,The New Adventures of Aladdin,"$35,771,820",-,-,"$35,771,820",100%
2015,170,Heidi,"$35,755,670",-,-,"$35,755,670",100%
2015,171,Lost and Love,"$34,930,177","$188,817",0.5%,"$34,741,360",99.5%
2015,172,Secret in Their Eyes,"$34,854,990","$20,180,155",57.9%,"$14,674,835",42.1%
2015,173,"Dad, Where Are We Going 2","$34,840,000",-,-,"$34,840,000",100%
2015,174,Doraemon: Nobita no uchuu eiyuuki,"$34,811,747",-,-,"$34,811,747",100%
2015,175,Victor Frankenstein,"$34,480,681","$5,775,076",16.7%,"$28,452,222",82.5%
2015,176,Steve Jobs,"$34,441,873","$17,766,658",51.6%,"$16,675,215",48.4%
2015,177,The Witness,"$33,963,557","$418,063",1.2%,"$33,545,494",98.8%
2015,178,Project Almanac,"$33,213,241","$22,348,241",67.3%,"$10,865,000",32.7%
2015,179,Dilwale,"$31,994,323","$4,871,263",15.2%,"$27,123,060",84.8%
2015,180,Suffragette,"$31,972,096","$4,702,420",14.7%,"$27,269,676",85.3%
2015,181,Saving Mr. Wu,"$31,222,161","$92,696",0.3%,"$31,129,465",99.7%
2015,182,Attack on Titan Part 1,"$30,810,658","$449,523",1.5%,"$30,361,135",98.5%
2015,183,A Man Called Ove,"$30,692,889","$3,479,315",11.3%,"$27,213,574",88.7%
2015,184,American Ultra,"$30,411,977","$14,440,985",47.5%,"$12,821,389",42.2%
2015,185,Far from the Madding Crowd,"$30,258,315","$12,236,500",40.4%,"$17,993,477",59.5%
2015,186,Mr. Holmes,"$29,782,017","$17,737,646",59.6%,"$11,617,557",39%
2015,187,Love & Mercy,"$28,653,859","$12,551,031",43.8%,"$16,090,745",56.2%
2015,188,Flying Colors,"$28,525,563",-,-,"$28,525,563",100%
2015,189,Triumph in the Skies,"$28,085,162",-,-,"$28,085,162",100%
2015,190,The 33,"$27,972,023","$12,227,722",43.7%,"$15,744,301",56.3%
2015,191,Bride Wars,"$27,670,000",-,-,"$27,670,000",100%
2015,192,Detective K: Secret of the Lost Island,"$27,387,870","$185,367",0.7%,"$27,202,503",99.3%
2015,193,To the Fore,"$27,267,799",-,-,"$27,267,799",100%
2015,194,Orange,"$26,261,536",-,-,"$26,261,536",100%
2015,195,Aloha,"$26,251,963","$21,067,116",80.2%,"$5,182,904",19.7%
2015,196,Huevos: Little Rooster's Egg-cellent Adventure,"$25,892,561","$9,080,818",35.1%,"$16,811,743",64.9%
2015,197,Dügün Dernek 2: Sünnet,"$25,836,668",-,-,"$25,836,668",100%
2015,198,Look Who's Back,"$25,513,752",-,-,"$25,513,752",100%
2015,199,Serial Teachers 2,"$25,364,150",-,-,"$25,364,150",100%
2015,200,While We're Young,"$25,029,748","$7,587,485",30.3%,"$9,699,824",38.8%
2016,1,Captain America: Civil War,"$1,153,296,293","$408,084,349",35.4%,"$745,211,944",64.6%
2016,2,Rogue One: A Star Wars Story,"$1,056,057,273","$532,177,324",50.4%,"$523,879,949",49.6%
2016,3,Finding Dory,"$1,028,570,889","$486,295,561",47.3%,"$542,275,328",52.7%
2016,4,Zootopia,"$1,028,220,432","$341,268,248",33.2%,"$682,515,947",66.4%
2016,5,The Jungle Book,"$966,550,600","$364,001,123",37.7%,"$602,549,477",62.3%
2016,6,The Secret Life of Pets,"$875,697,467","$368,623,860",42.1%,"$507,073,607",57.9%
2016,7,Batman v Superman: Dawn of Justice,"$874,360,194","$330,360,194",37.8%,"$544,000,000",62.2%
2016,8,Fantastic Beasts and Where to Find Them,"$816,037,575","$234,037,575",28.7%,"$582,000,000",71.3%
2016,9,Deadpool,"$782,612,155","$363,070,709",46.4%,"$419,541,446",53.6%
2016,10,Suicide Squad,"$749,200,054","$325,100,054",43.4%,"$424,100,000",56.6%
2016,11,Doctor Strange,"$677,718,395","$232,641,920",34.3%,"$445,076,475",65.7%
2016,12,Moana,"$643,331,111","$248,757,044",38.7%,"$394,574,067",61.3%
2016,13,Sing,"$634,151,679","$270,395,425",42.6%,"$363,756,254",57.4%
2016,14,The Mermaid,"$553,810,228","$3,232,685",0.6%,"$550,577,543",99.4%
2016,15,X-Men: Apocalypse,"$544,457,861","$155,442,489",28.5%,"$388,491,616",71.4%
2016,16,Kung Fu Panda 3,"$521,170,825","$143,528,619",27.5%,"$377,642,206",72.5%
2016,17,La La Land,"$447,407,695","$151,101,803",33.8%,"$296,305,892",66.2%
2016,18,Warcraft,"$439,048,914","$47,365,290",10.8%,"$391,683,624",89.2%
2016,19,Jason Bourne,"$415,484,914","$162,434,410",39.1%,"$253,050,504",60.9%
2016,20,Ice Age: Collision Course,"$408,709,585","$64,063,008",15.7%,"$344,516,030",84.3%
2016,21,Independence Day: Resurgence,"$389,681,935","$103,144,286",26.5%,"$286,537,649",73.5%
2016,22,Your Name.,"$357,986,087","$5,017,246",1.4%,"$352,968,841",98.6%
2016,23,The Legend of Tarzan,"$357,243,061","$126,643,061",35.5%,"$230,600,000",64.5%
2016,24,The Angry Birds Movie,"$352,333,929","$107,509,366",30.5%,"$244,824,563",69.5%
2016,25,Trolls,"$347,013,487","$153,856,089",44.3%,"$193,157,398",55.7%
2016,26,Star Trek Beyond,"$343,471,816","$158,848,340",46.2%,"$184,623,476",53.8%
2016,27,The Great Wall,"$334,998,298","$45,540,830",13.6%,"$289,393,001",86.4%
2016,28,Now You See Me 2,"$334,897,606","$65,075,540",19.4%,"$269,822,066",80.6%
2016,29,The Conjuring 2,"$321,370,008","$102,470,008",31.9%,"$218,900,000",68.1%
2016,30,Resident Evil: The Final Chapter,"$312,267,058","$26,830,068",8.6%,"$285,412,558",91.4%
2016,31,Dangal,"$303,723,636","$12,391,761",4.1%,"$291,331,875",95.9%
2016,32,Passengers,"$303,263,318","$100,014,699",33%,"$203,129,453",67%
2016,33,Alice Through the Looking Glass,"$299,457,024","$77,041,381",25.7%,"$222,415,643",74.3%
2016,34,Miss Peregrine's Home for Peculiar Children,"$297,394,473","$87,242,834",29.3%,"$209,239,612",70.4%
2016,35,Assassin's Creed,"$252,491,941","$54,647,948",21.6%,"$186,049,908",73.7%
2016,36,Teenage Mutant Ninja Turtles: Out of the Shadows,"$245,623,848","$82,051,601",33.4%,"$163,572,247",66.6%
2016,37,Sully,"$243,870,033","$125,070,033",51.3%,"$118,800,000",48.7%
2016,38,Hidden Figures,"$240,578,343","$169,607,287",70.5%,"$66,349,611",27.6%
2016,39,Ghostbusters,"$229,147,509","$128,350,574",56%,"$100,796,935",44%
2016,40,Inferno,"$220,021,259","$34,343,574",15.6%,"$185,677,685",84.4%
2016,41,Central Intelligence,"$216,940,871","$127,440,871",58.7%,"$89,500,000",41.3%
2016,42,Bridget Jones's Baby,"$212,499,816","$24,252,420",11.4%,"$187,700,000",88.3%
2016,43,Me Before You,"$208,445,075","$56,245,075",27%,"$152,200,000",73%
2016,44,London Has Fallen,"$205,754,447","$62,524,260",30.4%,"$143,230,187",69.6%
2016,45,Arrival,"$203,388,186","$100,546,139",49.4%,"$102,842,047",50.6%
2016,46,The BFG,"$195,243,411","$55,483,770",28.4%,"$139,759,641",71.6%
2016,47,The Monkey King 2,"$193,678,298","$709,982",0.4%,"$192,968,316",99.6%
2016,48,Bad Moms,"$184,141,851","$113,257,297",61.5%,"$70,678,777",38.4%
2016,49,Storks,"$183,679,278","$72,679,278",39.6%,"$111,000,000",60.4%
2016,50,From Vegas to Macau III,"$181,732,879",-,-,"$181,732,879",100%
2016,51,Hacksaw Ridge,"$180,563,636","$67,209,615",37.2%,"$113,354,021",62.8%
2016,52,Allegiant,"$179,246,868","$66,184,051",36.9%,"$113,062,817",63.1%
2016,53,Operation Mekong,"$173,839,072","$800,012",0.5%,"$173,039,060",99.5%
2016,54,The Girl on the Train,"$173,308,928","$75,395,035",43.5%,"$97,790,824",56.4%
2016,55,The Huntsman: Winter's War,"$164,989,338","$48,390,190",29.3%,"$116,599,148",70.7%
2016,56,The Magnificent Seven,"$163,299,051","$93,432,655",57.2%,"$68,927,981",42.2%
2016,57,Jack Reacher: Never Go Back,"$162,146,076","$58,697,076",36.2%,"$103,449,000",63.8%
2016,58,Don't Breathe,"$157,761,002","$89,217,875",56.6%,"$68,543,127",43.4%
2016,59,The Accountant,"$155,560,045","$86,260,045",55.5%,"$69,300,000",44.5%
2016,60,Lights Out,"$149,368,835","$67,268,835",45%,"$82,100,000",55%
2016,61,Time Raiders,"$145,819,137",-,-,"$145,819,137",100%
2016,62,Pete's Dragon,"$143,695,338","$76,233,151",53.1%,"$67,462,187",46.9%
2016,63,Sausage Party,"$140,705,322","$97,685,686",69.4%,"$43,019,636",30.6%
2016,64,Lion,"$140,314,668","$51,738,905",36.9%,"$88,574,023",63.1%
2016,65,Skiptrace,"$136,579,287",-,-,"$136,579,287",100%
2016,66,Mechanic: Resurrection,"$125,729,635","$21,218,403",16.9%,"$104,511,232",83.1%
2016,67,Deepwater Horizon,"$121,790,373","$61,433,527",50.4%,"$60,356,846",49.6%
2016,68,Allied,"$119,577,828","$40,098,064",33.5%,"$79,421,959",66.4%
2016,69,I Belonged to You,"$119,107,580","$744,541",0.6%,"$118,363,039",99.4%
2016,70,The Shallows,"$119,100,758","$55,124,043",46.3%,"$63,976,715",53.7%
2016,71,Why Him?,"$118,665,953","$60,323,786",50.8%,"$57,778,939",48.7%
2016,72,The Purge: Election Year,"$118,587,880","$79,213,375",66.8%,"$39,374,505",33.2%
2016,73,Book of Love,"$114,679,097",-,-,"$114,679,097",100%
2016,74,Office Christmas Party,"$114,501,299","$54,767,494",47.8%,"$59,733,805",52.2%
2016,75,How to Be Single,"$112,543,513","$46,843,513",41.6%,"$65,700,000",58.4%
2016,76,10 Cloverfield Lane,"$110,216,998","$72,082,998",65.4%,"$38,134,000",34.6%
2016,77,Neighbors 2: Sorority Rising,"$108,007,109","$55,455,765",51.3%,"$52,551,344",48.7%
2016,78,Cold War 2,"$103,197,501","$560,824",0.5%,"$102,636,677",99.5%
2016,79,Railroad Tigers,"$102,205,175","$218,044",0.2%,"$101,987,131",99.8%
2016,80,Some Like It Hot,"$95,721,752","$100,026",0.1%,"$95,621,726",99.9%
2016,81,Dirty Grandpa,"$94,479,987","$35,593,113",37.7%,"$58,479,915",61.9%
2016,82,Ben-Hur,"$94,061,311","$26,410,477",28.1%,"$67,650,834",71.9%
2016,83,Money Monster,"$93,282,604","$41,012,075",44%,"$52,270,529",56%
2016,84,Train to Busan,"$92,742,323","$2,129,768",2.3%,"$90,612,555",97.7%
2016,85,My Big Fat Greek Wedding 2,"$90,632,641","$59,689,605",65.9%,"$30,943,036",34.1%
2016,86,Collateral Beauty,"$88,616,021","$31,016,021",35%,"$57,600,000",65%
2016,87,Line Walker,"$88,228,755",-,-,"$88,228,755",100%
2016,88,Sultan,"$87,280,000","$6,200,000",7.1%,"$81,080,000",92.9%
2016,89,War Dogs,"$86,434,523","$43,034,523",49.8%,"$43,400,000",50.2%
2016,90,Big Fish & Begonia,"$85,409,373",-,-,"$85,409,373",100%
2016,91,Nerve,"$85,251,425","$38,583,626",45.3%,"$46,667,799",54.7%
2016,92,Leap!,"$84,209,011","$2,844,490",3.4%,"$81,352,927",96.6%
2016,93,Ouija: Origin of Evil,"$81,715,776","$35,144,505",43%,"$46,561,241",57%
2016,94,Underworld: Blood Wars,"$81,521,389","$30,353,973",37.2%,"$50,739,340",62.2%
2016,95,Manchester by the Sea,"$78,988,148","$47,695,371",60.4%,"$31,292,777",39.6%
2016,96,The Boss,"$78,844,582","$63,285,885",80.3%,"$15,558,697",19.7%
2016,97,Shin Godzilla,"$77,947,607","$1,918,403",2.5%,"$76,029,204",97.5%
2016,98,Mike and Dave Need Wedding Dates,"$77,068,246","$46,009,673",59.7%,"$31,058,573",40.3%
2016,99,Kubo and the Two Strings,"$76,306,292","$48,023,088",62.9%,"$28,226,350",37%
2016,100,Quo vado?,"$75,878,701",-,-,"$75,878,701",100%
2016,101,Boo! A Madea Halloween,"$74,864,438","$73,206,343",97.8%,"$1,621,001",2.2%
2016,102,Miracles from Heaven,"$73,983,003","$61,705,123",83.4%,"$12,277,880",16.6%
2016,103,The Nice Guys,"$71,261,763","$36,261,763",50.9%,"$35,000,000",49.1%
2016,104,I Am Not Madame Bovary,"$70,826,207","$436,798",0.6%,"$70,389,409",99.4%
2016,105,See You Tomorrow,"$70,065,569",-,-,"$70,065,569",100%
2016,106,One Piece Film: Gold,"$66,207,073","$423,593",0.6%,"$65,783,480",99.4%
2016,107,Moonlight,"$65,172,611","$27,854,932",42.7%,"$37,317,679",57.3%
2016,108,Monster Trucks,"$64,561,691","$33,370,166",51.7%,"$31,123,749",48.2%
2016,109,Fences,"$64,429,336","$57,682,904",89.5%,"$6,731,857",10.4%
2016,110,"Hail, Caesar!","$63,647,656","$30,498,085",47.9%,"$33,149,571",52.1%
2016,111,Huo guo ying xiong,"$58,106,427","$779,818",1.3%,"$57,326,609",98.7%
2016,112,L.O.R.D: Legend of Ravaging Dynasties,"$58,089,494","$350,456",0.6%,"$57,739,038",99.4%
2016,113,Nine Lives,"$57,814,445","$19,700,032",34.1%,"$38,114,413",65.9%
2016,114,Zoolander 2,"$56,722,693","$28,848,693",50.9%,"$27,874,000",49.1%
2016,115,Barbershop: The Next Cut,"$55,630,051","$54,030,051",97.1%,"$1,600,000",2.9%
2016,116,The Age of Shadows,"$54,491,162","$541,719",1%,"$53,949,443",99%
2016,117,Patriots Day,"$53,702,392","$31,886,361",59.4%,"$20,299,390",37.8%
2016,118,A Chinese Odyssey: Part Three,"$53,306,108",-,-,"$53,306,108",100%
2016,119,Tunnel,"$52,444,295","$568,876",1.1%,"$51,875,419",98.9%
2016,120,My Beloved Bodyguard,"$52,165,873",-,-,"$52,165,873",100%
2016,121,The Finest Hours,"$52,099,090","$27,569,558",52.9%,"$24,529,532",47.1%
2016,122,Master,"$51,636,415","$597,251",1.2%,"$51,039,164",98.8%
2016,123,Doraemon the Movie: Nobita and the Birth of Japan,"$50,939,840",-,-,"$50,939,840",100%
2016,124,The Wailing,"$49,851,770","$786,633",1.6%,"$49,065,137",98.4%
2016,125,Two Is a Family,"$49,619,118",-,-,"$49,619,118",100%
2016,126,Never Gone,"$48,980,792","$96,421",0.2%,"$48,884,371",99.8%
2016,127,Luck-Key,"$48,913,975","$466,505",1%,"$48,447,470",99%
2016,128,Florence Foster Jenkins,"$48,902,953","$27,383,770",56%,"$21,519,183",44%
2016,129,Mother's Day,"$48,782,670","$32,492,859",66.6%,"$16,289,811",33.4%
2016,130,"Yo-kai Watch Movie: It's the Secret of Birth, Meow! 2016 Re-release","$47,642,462",-,-,"$47,642,462",100%
2016,131,A Monster Calls,"$47,309,313","$3,740,823",7.9%,"$43,568,490",92.1%
2016,132,Risen,"$46,432,579","$36,880,033",79.4%,"$9,552,546",20.6%
2016,133,Eddie the Eagle,"$46,152,800","$15,789,389",34.2%,"$30,363,411",65.8%
2016,134,Blair Witch,"$45,173,154","$20,777,061",46%,"$24,396,093",54%
2016,135,Boonie Bears: The Big Top Secret,"$45,150,390",-,-,"$45,150,390",100%
2016,136,Café Society,"$43,763,247","$11,103,205",25.4%,"$32,660,042",74.6%
2016,137,League of Gods,"$43,498,766","$181,633",0.4%,"$43,317,133",99.6%
2016,138,Almost Christmas,"$42,629,785","$42,158,780",98.9%,"$422,140",1%
2016,139,The Witch,"$41,030,647","$25,138,705",61.3%,"$15,285,240",37.3%
2016,140,The Wild Life,"$40,093,323","$8,005,586",20%,"$32,069,860",80%
2016,141,Love O2O,"$39,969,537",-,-,"$39,969,537",100%
2016,142,The Forest,"$39,712,000","$26,594,261",67%,"$13,117,739",33%
2016,143,Absolutely Fabulous: The Movie,"$39,219,109","$4,772,155",12.2%,"$34,446,954",87.8%
2016,144,My Mom Is a Character 2,"$39,195,565",-,-,"$39,195,565",100%
2016,145,Masterpiece Mystery: Sherlock: The Abominable Bride,"$39,139,204",-,-,"$39,139,204",100%
2016,146,"Crouching Tiger, Hidden Dragon: Sword of Destiny","$38,659,039",-,-,"$38,659,039",100%
2016,147,Hell or High Water,"$37,879,877","$27,007,844",71.3%,"$10,872,033",28.7%
2016,148,Mission Milano,"$37,749,848",-,-,"$37,749,848",100%
2016,149,The Handmaiden,"$37,692,886","$2,006,788",5.3%,"$35,686,098",94.7%
2016,150,Snowden,"$37,357,216","$21,587,519",57.8%,"$15,769,697",42.2%
2016,151,Nobunaga Concerto: The Movie,"$36,187,594",-,-,"$36,187,594",100%
2016,152,Eye in the Sky,"$35,259,653","$18,704,595",53%,"$16,555,058",47%
2016,153,Les Tuche 2: The American Dream,"$35,210,425",-,-,"$35,210,425",100%
2016,154,Os Dez Mandamentos - O Filme,"$31,998,251",-,-,"$31,998,251",100%
