Year,Rank,Release Group,Worldwide,Domestic,Domestic %,Foreign,Foreign %
2014,2,The Hobbit: The Battle of the Five Armies,"$956,019,788","$255,119,788",26.7%,"$700,900,000",73.3%
2014,3,Guardians of the Galaxy,"$772,776,600","$333,176,600",43.1%,"$439,600,000",56.9%
2014,4,Big Hero 6,"$765,070,567","$222,527,828",29.1%,"$435,300,000",56.9%
2014,5,Maleficent,"$759,858,255","$241,410,378",31.8%,"$517,000,000",68%
2014,6,The Hunger Games: Mockingjay - Part 1,"$755,356,711","$337,135,885",44.6%,"$418,220,826",55.4%
2014,7,X-Men: Days of Future Past,"$748,008,807","$233,921,534",31.3%,"$512,124,166",68.5%
2014,8,Captain America: The Winter Soldier,"$714,421,503","$259,766,572",36.4%,"$454,654,931",63.6%
2014,9,Dawn of the Planet of the Apes,"$710,689,034","$208,545,589",29.3%,"$502,098,977",70.6%
2014,10,The Amazing Spider-Man 2,"$709,039,799","$202,853,933",28.6%,"$506,128,390",71.4%
2014,11,Interstellar,"$681,070,397","$188,020,017",27.6%,"$493,050,380",72.4%
2014,12,How to Train Your Dragon 2,"$621,537,519","$177,002,924",28.5%,"$444,534,595",71.5%
2014,13,American Sniper,"$547,626,372","$350,126,372",63.9%,"$197,500,000",36.1%
2014,14,Godzilla,"$538,888,663","$200,676,069",37.2%,"$324,300,000",60.2%
2014,15,Teenage Mutant Ninja Turtles,"$502,136,026","$191,204,754",38.1%,"$293,800,000",58.5%
2014,16,Rio 2,"$498,781,117","$131,538,435",26.4%,"$367,242,682",73.6%
2014,17,The Lego Movie,"$471,090,206","$257,760,692",54.7%,"$210,300,000",44.6%
2014,18,Lucy,"$464,796,143","$126,663,600",27.3%,"$332,200,000",71.5%
2014,19,Penguins of Madagascar,"$374,356,078","$83,850,911",22.4%,"$289,664,710",77.4%
2014,20,Edge of Tomorrow,"$371,540,484","$100,206,256",27%,"$270,335,000",72.8%
2014,21,Gone Girl,"$369,330,363","$167,767,189",45.4%,"$201,563,174",54.6%
2014,22,Noah,"$364,935,013","$101,200,044",27.7%,"$258,000,000",70.7%
2014,23,Night at the Museum: Secret of the Tomb,"$363,204,635","$113,746,621",31.3%,"$249,458,014",68.7%
2014,24,The Maze Runner,"$348,380,716","$102,427,862",29.4%,"$245,891,999",70.6%
2014,25,300: Rise of an Empire,"$337,580,051","$106,580,051",31.6%,"$231,000,000",68.4%
2014,26,22 Jump Street,"$331,663,704","$191,719,337",57.8%,"$139,614,539",42.1%
2014,27,The Fault in Our Stars,"$307,166,834","$124,872,350",40.7%,"$182,294,484",59.3%
2014,28,Into the Woods,"$289,456,654","$128,002,372",44.2%,"$84,900,000",29.3%
2014,29,Divergent,"$288,885,818","$150,947,895",52.3%,"$137,937,923",47.7%
2014,30,Paddington,"$282,370,135","$76,271,832",27%,"$206,098,303",73%
2014,31,Mr. Peabody & Sherman,"$275,698,039","$111,506,430",40.4%,"$164,191,609",59.6%
2014,32,Neighbors,"$271,302,502","$150,157,400",55.3%,"$120,507,734",44.4%
2014,33,Exodus: Gods and Kings,"$268,175,631","$65,014,513",24.2%,"$203,161,118",75.8%
2014,34,Annabelle,"$257,047,661","$84,273,813",32.8%,"$172,773,848",67.2%
2014,35,Hercules,"$244,819,862","$72,688,614",29.7%,"$172,131,248",70.3%
2014,36,RoboCop,"$242,700,840","$58,607,007",24.1%,"$184,081,958",75.8%
2014,37,The Imitation Game,"$233,891,753","$91,125,683",39%,"$142,430,025",60.9%
2014,38,Non-Stop,"$222,809,600","$92,168,600",41.4%,"$130,641,000",58.6%
2014,39,Dumb and Dumber To,"$218,154,999","$86,208,010",39.5%,"$83,629,000",38.3%
